Frame,Time (s),Point ID,X,Y,Vx,Vy,Ax,Ay
1,0.03,0,470,1009,315.64,-167.20,9469.31,-5016.08
1,0.03,1,495,1012,304.75,-176.26,9142.44,-5287.83
1,0.03,2,474,1039,286.15,-188.27,8584.58,-5647.96
1,0.03,3,481,1005,303.29,-164.90,9098.85,-4947.09
1,0.03,4,493,1046,285.54,-179.67,8566.20,-5390.00
1,0.03,5,488,1009,300.82,-176.11,9024.72,-5283.32
1,0.03,6,486,1046,280.84,-182.59,8425.20,-5477.67
2,0.07,0,480,1004,302.14,-159.95,8748.43,-5114.03
2,0.07,1,505,1006,306.50,-169.82,8890.34,-5399.27
2,0.07,2,485,1034,335.30,-160.08,9772.82,-5088.50
2,0.07,3,490,999,290.31,-170.19,8406.01,-5409.08
2,0.07,4,503,1040,289.14,-176.49,8388.74,-5580.29
2,0.07,5,497,1003,293.54,-171.55,8505.38,-5447.42
2,0.07,6,495,1040,284.50,-177.98,8254.14,-5620.19
3,0.10,0,490,998,304.61,-163.86,8836.04,-5218.02
3,0.10,1,515,1001,293.89,-163.77,8510.11,-5219.70
3,0.10,2,494,1028,275.01,-180.95,7914.88,-5763.75
3,0.10,3,500,994,301.47,-163.35,8753.74,-5190.82
3,0.10,4,512,1034,283.87,-174.36,8226.83,-5519.95
3,0.10,5,507,997,284.92,-169.63,8254.01,-5382.57
3,0.10,6,504,1035,272.61,-179.00,7893.78,-5654.40
4,0.13,0,500,993,288.65,-166.58,8354.84,-5302.07
4,0.13,1,524,995,292.66,-166.24,8485.95,-5281.02
4,0.13,2,504,1022,274.47,-181.45,7959.11,-5718.40
4,0.13,3,510,988,285.33,-163.16,8258.39,-5196.15
4,0.13,4,522,1028,289.04,-167.46,8387.20,-5307.80
4,0.13,5,517,992,303.56,-161.17,8821.95,-5120.00
4,0.13,6,514,1029,283.43,-176.69,8230.40,-5573.18
5,0.17,0,510,987,294.56,-159.21,8548.23,-5064.84
5,0.17,1,534,990,296.10,-156.28,8590.28,-4980.97
5,0.17,2,513,1016,293.68,-170.28,8536.07,-5382.89
5,0.17,3,519,983,284.50,-155.39,8249.56,-4946.99
5,0.17,4,531,1023,289.26,-169.04,8388.62,-5360.32
5,0.17,5,526,987,283.21,-159.12,8192.77,-5077.07
5,0.17,6,523,1023,281.02,-169.06,8147.03,-5355.38
6,0.20,0,519,982,291.37,-149.85,8446.57,-4790.17
6,0.20,1,544,985,282.51,-156.41,8179.25,-4988.30
6,0.20,2,522,1010,273.73,-169.08,7918.21,-5366.13
6,0.20,3,529,978,294.64,-155.65,8554.77,-4954.12
6,0.20,4,541,1017,278.86,-171.05,8076.50,-5420.64
6,0.20,5,536,981,281.45,-154.25,8160.17,-4910.71
6,0.20,6,532,1017,264.85,-169.14,7664.57,-5355.27
7,0.23,0,529,977,286.00,-154.76,8288.62,-4934.14
7,0.23,1,553,979,285.45,-153.76,8280.89,-4895.18
7,0.23,2,532,1005,272.96,-170.31,7915.20,-5383.03
7,0.23,3,538,973,273.41,-146.98,7907.53,-4703.95
7,0.23,4,550,1011,283.70,-167.32,8232.14,-5298.35
7,0.23,5,545,976,283.34,-149.97,8218.79,-4780.46
7,0.23,6,541,1012,275.72,-168.94,8006.81,-5333.12
8,0.27,0,538,972,281.53,-152.79,8159.79,-4869.82
8,0.27,1,562,974,277.67,-160.67,8044.66,-5105.42
8,0.27,2,541,999,277.47,-163.17,8051.05,-5168.09
8,0.27,3,548,968,277.46,-152.28,8050.50,-4841.74
8,0.27,4,559,1006,280.19,-153.99,8122.05,-4903.29
8,0.27,5,555,971,279.56,-156.81,8103.51,-4987.74
8,0.27,6,550,1006,253.60,-166.56,7332.25,-5272.58
9,0.30,0,548,967,276.02,-147.83,7998.98,-4716.43
9,0.30,1,572,969,272.63,-146.00,7901.21,-4657.70
9,0.30,2,550,994,266.39,-163.77,7714.37,-5190.44
9,0.30,3,557,963,274.44,-140.45,7955.75,-4490.94
9,0.30,4,568,1001,262.04,-161.69,7581.02,-5130.93
9,0.30,5,564,967,286.36,-134.45,8311.14,-4312.97
9,0.30,6,559,1001,273.60,-160.24,7954.40,-5060.83
10,0.33,0,557,962,272.77,-145.81,7907.20,-4650.39
10,0.33,1,581,964,270.83,-152.46,7852.42,-4846.57
10,0.33,2,559,989,275.61,-149.72,8001.92,-4758.10
10,0.33,3,566,958,282.07,-148.69,8187.56,-4735.22
10,0.33,4,577,995,254.50,-160.36,7372.91,-5072.95
10,0.33,5,573,961,265.33,-157.95,7673.57,-5024.81
10,0.33,6,568,996,270.86,-154.50,7852.11,-4908.57
11,0.37,0,566,958,271.37,-140.07,7868.42,-4474.82
11,0.37,1,589,960,265.22,-133.30,7685.74,-4269.69
11,0.37,2,568,984,265.53,-151.54,7690.19,-4821.75
11,0.37,3,575,954,270.94,-134.06,7846.06,-4303.89
11,0.37,4,586,991,266.80,-145.30,7749.54,-4613.54
11,0.37,5,582,957,269.72,-128.87,7826.15,-4131.53
11,0.37,6,577,991,262.06,-152.11,7590.90,-4834.03
12,0.40,0,575,953,267.11,-146.19,7741.89,-4657.01
12,0.40,1,598,955,266.33,-140.90,7724.53,-4492.26
12,0.40,2,577,979,276.00,-144.59,8014.43,-4603.31
12,0.40,3,584,949,264.73,-142.36,7670.97,-4541.82
12,0.40,4,594,985,266.14,-159.91,7717.46,-5064.15
12,0.40,5,591,953,267.00,-136.43,7740.36,-4362.73
12,0.40,6,583,985,187.38,-176.50,5359.37,-5557.14
13,0.43,0,584,948,268.27,-138.76,7780.93,-4429.94
13,0.43,1,607,950,264.83,-155.68,7678.49,-4936.67
13,0.43,2,585,974,253.18,-146.73,7319.40,-4677.83
13,0.43,3,593,944,270.47,-149.62,7849.44,-4753.36
13,0.43,4,603,981,249.12,-141.72,7207.36,-4517.85
13,0.43,5,600,947,264.20,-156.84,7659.08,-4972.06
13,0.43,6,592,980,271.66,-144.44,7962.28,-4520.66
14,0.47,0,592,943,256.46,-138.59,7425.68,-4425.82
14,0.47,1,615,945,249.94,-129.90,7233.40,-4161.90
14,0.47,2,594,970,273.13,-138.09,7940.86,-4395.74
14,0.47,3,601,940,255.68,-131.06,7400.02,-4202.31
14,0.47,4,611,975,260.65,-154.41,7570.51,-4881.56
14,0.47,5,608,943,259.29,-124.70,7514.39,-4005.21
14,0.47,6,600,975,254.31,-147.21,7357.58,-4688.05
15,0.50,0,601,939,255.65,-147.65,7413.04,-4685.82
15,0.50,1,624,940,262.69,-151.05,7630.77,-4781.58
