Time (s),X,Y,Vx,Vy,Ax,Ay
0.03,508,1015,280.06,-159.32,8401.71,-4779.66
0.07,518,1009,314.96,-175.69,1047.11,-491.14
0.10,528,1004,279.31,-156.23,-1069.44,583.92
0.13,537,999,280.40,-153.69,32.52,76.30
0.17,547,993,296.67,-166.51,488.23,-384.74
0.20,556,988,282.31,-158.73,-430.94,233.40
0.23,565,983,270.90,-151.89,-342.11,205.33
0.27,574,978,270.73,-151.29,-5.22,18.02
0.30,584,973,274.69,-153.58,118.98,-68.72
0.33,593,968,277.98,-152.70,98.60,26.42
0.37,602,963,264.31,-146.60,-410.01,182.81
0.40,611,958,275.05,-151.37,321.95,-142.99
0.43,619,953,257.29,-143.58,-532.62,233.51
0.47,628,948,249.14,-140.48,-244.72,93.05
0.50,636,944,249.97,-141.59,25.05,-33.29
0.53,643,939,225.18,-127.39,-743.83,426.00
0.57,651,935,222.49,-126.25,-80.69,34.33
0.60,660,930,260.20,-144.54,1131.48,-548.82
0.63,667,926,226.28,-128.61,-1017.61,478.02
0.67,675,922,236.66,-134.07,311.35,-163.97
0.70,682,917,217.95,-126.27,-561.40,234.17
0.73,690,913,223.40,-128.32,163.64,-61.63
0.77,697,909,222.29,-127.97,-33.40,10.60
0.80,704,905,219.85,-125.72,-73.06,67.40
0.83,712,900,220.11,-128.02,7.64,-68.88
0.87,719,896,214.29,-121.51,-174.52,195.12
0.90,726,892,216.55,-124.45,67.79,-88.06
0.93,733,888,211.71,-120.91,-145.07,106.13
0.97,740,884,210.33,-122.07,-41.64,-34.72
1.00,747,880,212.76,-121.45,73.06,18.46
1.03,754,876,207.31,-119.40,-163.64,61.69
1.07,761,872,204.48,-119.61,-84.65,-6.48
1.10,768,868,203.86,-114.92,-18.79,140.68
1.13,775,864,203.62,-118.45,-7.20,-105.63
1.17,781,861,198.17,-113.02,-163.48,162.65
1.20,788,857,198.28,-115.20,3.41,-65.20
1.23,793,854,163.45,-97.01,-1045.02,545.53
1.27,799,850,186.58,-108.02,693.79,-330.19
1.30,806,846,201.10,-116.66,435.77,-259.22
1.33,811,843,158.99,-94.55,-1263.32,663.24
1.37,818,839,185.20,-106.05,786.35,-345.03
1.40,823,836,169.69,-97.62,-465.44,253.12
1.43,829,833,170.53,-99.92,25.32,-69.05
1.47,834,830,160.71,-92.48,-294.60,223.08
1.50,840,826,173.86,-102.08,394.41,-287.90
1.53,846,823,169.15,-94.55,-141.39,225.88
1.57,851,820,163.19,-91.88,-178.64,80.15
1.60,857,817,169.20,-93.63,180.40,-52.57
1.63,862,814,159.57,-90.23,-289.11,102.12
1.67,867,811,154.32,-89.89,-157.49,10.05
1.70,873,808,160.65,-91.80,190.01,-57.24
1.73,878,805,153.80,-88.49,-205.50,99.21
1.77,883,802,158.80,-90.45,150.07,-58.83
1.80,888,799,154.52,-88.71,-128.54,52.35
1.83,893,796,154.89,-90.14,10.99,-43.12
1.87,898,793,146.56,-85.47,-249.66,140.13
1.90,903,790,148.08,-87.59,45.59,-63.56
1.93,908,787,149.01,-83.91,27.74,110.36
1.97,913,785,146.43,-84.33,-77.40,-12.58
2.00,918,782,143.87,-84.57,-76.85,-7.25
